"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_010580_T.1"	"AB_010580_T.1"	1.34851758938587	1.73690390442237e-06	0.00196958699533266	5.7602242085728	2.70562483193607	TRUE	-1.32609535149711	0.000138689981864379	0.12860782318276	3.85795490863222	0.890732612580032	FALSE	"Col_2"
"AB_010818_T.1"	"AB_010818_T.1"	1.09408933460559	9.4740001462851e-05	0.0349777882144998	4.02346661290226	1.45620765616688	TRUE	-1.07708598453936	0.0194447212967206	1	1.71119827726138	0	FALSE	"Col_2"
"AB_011806_T.1"	"AB_011806_T.1"	1.95287085288721	5.94479135208682e-05	0.0251670760293478	4.22586338347212	1.59916723888487	TRUE	-1.92479835866405	0.00170268018754834	0.445579914601608	2.76886691740805	0.351074394078242	FALSE	"Col_2"
"AB_012401_T.1"	"AB_012401_T.1"	1.09416095690894	1.82909214610834e-05	0.0116151009462172	4.7377644150603	1.93497701141738	TRUE	-1.07547751015065	0.0121015125747242	1	1.91716034358428	0	FALSE	"Col_2"
"AB_014931_T.1"	"AB_014931_T.1"	1.05564494593952	1.15124269119836e-05	0.00777725674217857	4.9388331139567	2.10917356391347	TRUE	-1.03543536892362	0.000739079000687529	0.306079163624536	3.1313091370735	0.514166234044906	FALSE	"Col_2"
"AB_016706_T.1"	"AB_016706_T.1"	-3.04371738366518	6.86086121018236e-05	0.0272955496427693	4.16362136601998	1.56390815600472	TRUE	3.03888933150968	0.000260134521219996	0.166264405708835	3.58480201081633	0.779200715656059	FALSE	"Col_2"
"AB_016713_T.1"	"AB_016713_T.1"	2.37589958289232	3.24794472013083e-05	0.0180921917208551	4.48839137103999	1.74250881873353	TRUE	-2.35495079495175	0.000150388252007329	0.13364502661718	3.8227860885294	0.874047198171218	FALSE	"Col_2"
"AB_017245_T.1"	"AB_017245_T.1"	1.06423296912418	5.74867400269084e-05	0.0246656957107347	4.24043231874083	1.60790663049286	TRUE	-1.0434973153079	0.00095806944407477	0.358486054442574	3.01860301066527	0.445527734267975	FALSE	"Col_2"
"AB_018137_T.1"	"AB_018137_T.1"	1.19916378590736	5.69527287174614e-05	0.0246656957107347	4.24448546318196	1.60790663049286	TRUE	-1.17617447252344	0.00506384438275312	0.729741033752423	2.29551964911038	0.136831232435554	FALSE	"Col_2"
"AB_019246_T.1"	"AB_019246_T.1"	1.89200001399842	5.637457815508e-05	0.0246656957107347	4.24891669488084	1.60790663049286	TRUE	-1.86782829567597	0.000479743658717484	0.2273771722917	3.31899075708693	0.643253138792487	FALSE	"Col_2"
