"FoldChange"	"pValue"	"color"
"AB_035224_T.1"	-1.83476237230686	0	"Col_2"
"AB_033914_T.1"	-1.58750873312427	0	"Col_2"
"AB_045833_T.1"	-1.40848029548484	0	"Col_2"
"AB_045071_T.1"	-1.5907400196899	0	"Col_2"
"AB_002772_T.1"	-1.60291401690448	0	"Col_2"
"AB_037245_T.1"	-2.52707413813625	0	"Col_2"
"AB_036412_T.1"	-2.28453583243236	0	"Col_2"
"AB_037978_T.1"	-2.2134588576671	0	"Col_2"
"AB_018110_T.1"	-1.83148858239892	0	"Col_2"
"AB_038177_T.1"	-1.16440659847084	0	"Col_2"
"AB_045021_T.1"	-1.34504369076783	0	"Col_2"
"AB_039264_T.1"	-1.10252604522169	0	"Col_2"
"AB_007628_T.1"	-1.53415077547078	0	"Col_2"
"AB_015225_T.1"	-1.3479412013329	0	"Col_2"
"AB_035708_T.1"	-1.37975017210634	0	"Col_2"
"AB_001022_T.1"	-1.20294177232325	0	"Col_2"
"AB_031887_T.1"	-1.57801803120628	0	"Col_2"
"AB_038373_T.1"	-1.40108156448696	0	"Col_2"
"AB_042781_T.1"	-1.04128986470281	0	"Col_2"
"AB_012249_T.1"	-1.89184336860275	0	"Col_2"
"AB_040428_T.1"	-1.27793678624094	0	"Col_2"
"AB_021707_T.1"	-1.20853849326051	0	"Col_2"
"AB_041163_T.1"	-1.13748309623163	0	"Col_2"
"AB_032659_T.1"	-1.69830910863572	0	"Col_2"
"AB_041295_T.1"	-1.31496108487976	0	"Col_2"
"AB_041297_T.1"	-1.71023533763198	0	"Col_2"
"AB_007266_T.1"	-1.74220007529776	0	"Col_2"
"AB_024213_T.1"	-1.14494582866528	0	"Col_2"
"AB_013706_T.1"	-2.60994665644975	0	"Col_2"
"AB_046021_T.1"	-2.44676443761501	0	"Col_2"
"AB_004968_T.1"	-2.56103637378213	0	"Col_2"
"AB_043356_T.1"	-1.45696415722048	0	"Col_2"
"AB_023304_T.1"	-2.31303414325406	0	"Col_2"
"AB_034350_T.1"	-1.77594795047918	0	"Col_2"
"AB_044022_T.1"	-2.21513728737397	0	"Col_2"
"AB_028512_T.1"	-1.31492911841849	0	"Col_2"
"AB_019633_T.1"	-2.94423274203545	0	"Col_2"
"AB_002622_T.1"	-1.95353946588526	0	"Col_2"
"AB_029590_T.1"	-1.39094793638284	0	"Col_2"
"AB_045403_T.1"	-1.43649579029237	0	"Col_2"
"AB_030027_T.1"	-1.05192337115198	0	"Col_2"
"AB_000998_T.1"	-1.38942224095291	0	"Col_2"
"AB_028964_T.1"	-1.74774671265162	0	"Col_2"
"AB_031603_T.1"	-1.27659886530017	0	"Col_2"
"AB_032835_T.1"	-1.22788813136307	0	"Col_2"
"AB_039654_T.1"	-1.20999244083536	0	"Col_2"
"AB_025647_T.1"	-1.56552130843535	0	"Col_2"
"AB_037845_T.1"	-1.14334783401058	0	"Col_2"
"AB_012510_T.1"	-1.20550892799358	0	"Col_2"
"AB_029627_T.1"	-2.21902828375383	0	"Col_2"
"AB_031223_T.1"	-2.19314000258899	0	"Col_2"
"AB_002564_T.1"	-1.56387047890521	0	"Col_2"
"AB_042994_T.1"	-1.29175997881724	0	"Col_2"
"AB_041644_T.1"	-1.48822792547167	0	"Col_2"
"AB_015926_T.1"	-1.26105306101469	0	"Col_2"
"AB_021813_T.1"	-1.62158708579374	0	"Col_2"
"AB_006889_T.1"	-1.30280766363715	0	"Col_2"
"AB_028046_T.1"	-1.68329736800093	0	"Col_2"
"AB_038847_T.1"	-2.90388751508944	0	"Col_2"
"AB_028359_T.1"	-2.90941319081129	0	"Col_2"
"AB_035607_T.1"	-1.28373788922396	0	"Col_2"
"AB_017785_T.1"	-1.09165004389846	0	"Col_2"
"AB_001306_T.1"	-1.43575780562799	0	"Col_2"
"AB_018769_T.1"	-1.08336955778078	0	"Col_2"
"AB_033713_T.1"	-2.15652921852612	0	"Col_2"
"AB_029585_T.1"	-1.06638290941861	0	"Col_2"
"AB_034407_T.1"	-1.11867652262279	0	"Col_2"
"AB_044183_T.1"	-1.3048359288312	0	"Col_2"
"AB_036849_T.1"	-1.0744925578566	0	"Col_2"
"AB_042297_T.1"	-1.28428478683937	0	"Col_2"
"AB_011917_T.1"	-2.76256757858054	0	"Col_2"
"AB_035509_T.1"	-1.09366488159971	0	"Col_2"
"AB_027974_T.1"	-1.3113851744491	0	"Col_2"
"AB_045241_T.1"	-3.41675351537373	0	"Col_2"
"AB_031910_T.1"	-1.17504406796773	0	"Col_2"
"AB_045242_T.1"	-1.54019659032095	0	"Col_2"
"AB_040105_T.1"	-1.01103449695657	0	"Col_2"
"AB_002474_T.1"	-2.33291471685029	0	"Col_2"
"AB_034909_T.1"	-1.26745504293311	0	"Col_2"
"AB_000785_T.1"	-1.49994910553668	0	"Col_2"
"AB_029697_T.1"	-2.0012780424224	0	"Col_2"
"AB_021188_T.1"	-1.74300068389582	0	"Col_2"
"AB_035882_T.1"	-1.63181529054276	0	"Col_2"
"AB_029057_T.1"	-1.82481837874843	0	"Col_2"
"AB_042103_T.1"	-1.01093928601089	0	"Col_2"
"AB_028436_T.1"	-2.32158215656084	0	"Col_2"
"AB_033524_T.1"	-2.98926253855116	0	"Col_2"
"AB_035065_T.1"	-1.27804790588806	0	"Col_2"
"AB_020791_T.1"	-1.05929015216573	0	"Col_2"
"AB_000533_T.1"	-1.78068473253802	0	"Col_2"
"AB_023066_T.1"	-1.23304376729495	0	"Col_2"
"AB_018007_T.1"	-1.28355674749974	0	"Col_2"
"AB_001772_T.1"	-1.34280538471188	0	"Col_2"
"AB_001573_T.1"	-1.44248212358741	0	"Col_2"
"AB_039652_T.1"	-1.32063840900402	0	"Col_2"
"AB_032428_T.1"	-1.97735929338069	0	"Col_2"
"AB_021173_T.1"	-1.26230423976066	0	"Col_2"
"AB_031989_T.1"	-1.67733161308377	0	"Col_2"
"AB_034936_T.1"	-2.39436213291257	0	"Col_2"
"AB_036767_T.1"	-1.93250591873796	0	"Col_2"
"AB_043001_T.1"	-2.42855908102646	0	"Col_2"
"AB_043920_T.1"	-1.08231317073354	0	"Col_2"
"AB_036025_T.1"	-1.55673065446872	0	"Col_2"
"AB_030653_T.1"	-1.13945422621375	0	"Col_2"
"AB_033187_T.1"	-2.49650293312926	0	"Col_2"
"AB_042612_T.1"	-1.10486108535665	0	"Col_2"
"AB_026120_T.1"	-1.94462012632934	0	"Col_2"
"AB_043804_T.1"	-1.24858617715223	0	"Col_2"
"AB_001038_T.1"	-1.09096930529719	0	"Col_2"
"AB_024770_T.1"	-1.42292605264986	0	"Col_2"
"AB_019750_T.1"	-2.28323755673363	0	"Col_2"
"AB_033056_T.1"	-1.43349956371431	0	"Col_2"
"AB_023237_T.1"	-1.42415742875521	0	"Col_2"
"AB_023380_T.1"	-1.06617564853873	0	"Col_2"
"AB_031684_T.1"	-1.37693225556519	0	"Col_2"
"AB_033120_T.1"	-1.32720751204381	0	"Col_2"
"AB_024126_T.1"	-2.58067729893228	0	"Col_2"
"AB_038235_T.1"	-1.13746779662083	0	"Col_2"
"AB_036013_T.1"	-1.45195880019856	0	"Col_2"
"AB_040654_T.1"	-1.0408523881065	0	"Col_2"
"AB_031047_T.1"	-1.33992237985101	0	"Col_2"
"AB_039641_T.1"	-1.49811391194216	0	"Col_2"
"AB_028546_T.1"	-1.31899211427486	0	"Col_2"
"AB_008170_T.1"	-1.38323802833905	0	"Col_2"
"AB_025734_T.1"	-1.68943094224205	0	"Col_2"
"AB_008690_T.1"	-1.41491074746978	0	"Col_2"
"AB_037148_T.1"	-1.87287756839436	0	"Col_2"
"AB_030365_T.1"	-1.85971372376503	0	"Col_2"
"AB_001820_T.1"	-1.04426957139432	0	"Col_2"
"AB_027137_T.1"	-2.04691432534971	0	"Col_2"
"AB_018897_T.1"	-1.0066083703999	0	"Col_2"
"AB_011172_T.1"	-1.39136785918243	0	"Col_2"
