"logFC"	"logCPM"	"PValue"	"FDR"
"AB_025512_T.1"	1.44892339838357	5.54010353338047	0.000314306815918274	0.181770884879751
"AB_041249_T.1"	4.48252462359309	0.590058828325821	0.000328910816967446	0.185397600173745
"AB_028371_T.1"	7.26164708993883	-1.17847743708872	0.000330441840111753	0.185397600173745
"AB_032715_T.1"	2.61256615796882	1.98994501004461	0.000344132124578651	0.190239274927001
"AB_030682_T.1"	-4.14036943586883	-0.27177182625905	0.000349368789698036	0.190335103964332
"AB_017339_T.1"	4.00614696526904	-1.34926947164694	0.000360086136589448	0.192441263977274
"AB_016209_T.1"	1.01511964651199	4.58323125790399	0.000363473430937896	0.192441263977274
"AB_021803_T.1"	-2.20262614914239	-0.021143060811336	0.000374040967222845	0.193778740245416
"AB_024635_T.1"	2.94454140851784	0.308826667332459	0.00037630943677783	0.193778740245416
"AB_032910_T.1"	2.35561057036287	2.91317595821273	0.000390742725338258	0.197170632859706
"AB_022022_T.1"	-4.87563716588841	2.18945461547655	0.000393386647454922	0.197170632859706
"AB_024551_T.1"	3.37562423480745	1.95424531430329	0.000403874465937255	0.19976375064536
"AB_024466_T.1"	3.50114174210367	-0.876385025787088	0.0004094883062417	0.199910063895218
"AB_027427_T.1"	3.81659825721836	-1.74231270680963	0.000420076011658251	0.19999012690009
"AB_025313_T.1"	-1.27233484758522	2.25109303842038	0.000420292623902186	0.19999012690009
"AB_036346_T.1"	2.40135968249385	3.74099510682246	0.000459607254670747	0.207908502507788
"AB_010244_T.1"	-5.18311607362344	-0.0338562812560293	0.000462984525132014	0.207908502507788
"AB_038306_T.1"	2.63771203626295	2.51553113479357	0.000463122726205851	0.207908502507788
"AB_045329_T.1"	-3.23758306710608	0.590131783411683	0.000464480648248429	0.207908502507788
"AB_031648_T.1"	3.22641975760434	2.76799900356548	0.000476252873046506	0.207908502507788
"AB_040648_T.1"	6.61109064459713	-1.80611036123632	0.000477666297198438	0.207908502507788
"AB_045708_T.1"	1.25048066611583	6.5912957748972	0.000484428194064937	0.207908502507788
"AB_040198_T.1"	-1.90986617638274	1.27871938918806	0.000486880536571377	0.207908502507788
"AB_042595_T.1"	-3.13939137165049	1.29190828811442	0.000491420058074054	0.207908502507788
"AB_023647_T.1"	2.24783925666077	4.36613638204771	0.000492241672825761	0.207908502507788
"AB_001824_T.1"	-2.30793310815297	5.83098741951838	0.000507587945709913	0.212008205190904
"AB_019254_T.1"	-0.947422880571478	8.13051639300462	0.000522605174165146	0.21318840928407
"AB_024786_T.1"	-2.50961029932283	0.436964383105592	0.000524194870685046	0.21318840928407
"AB_030167_T.1"	2.93675611462774	1.45916971096283	0.000527427364619683	0.21318840928407
"AB_026390_T.1"	3.35921780578621	-0.440310165350016	0.000577291867577119	0.227582707861929
"AB_013216_T.1"	1.1309303500151	6.16717065483796	0.000577816617989521	0.227582707861929
"AB_016025_T.1"	2.22124463007293	-0.4339232858016	0.000582980426835545	0.227582707861929
"AB_041855_T.1"	5.02162120083065	-2.75200521269353	0.000587255530914504	0.227582707861929
"AB_013457_T.1"	8.43926148620673	-0.195145761968664	0.000633424154585477	0.239132820610417
"AB_046079_T.1"	5.91649780012439	1.04668852694832	0.000642567543835803	0.239132820610417
"AB_021681_T.1"	1.67526096995368	1.33608644981899	0.000643743615952049	0.239132820610417
"AB_027431_T.1"	-2.56590579918689	6.35095853055803	0.000646720529217766	0.239132820610417
"AB_011671_T.1"	1.41739267903986	1.44015700843372	0.000664737250680841	0.239132820610417
"AB_000609_T.1"	1.40000861647815	2.67787473253598	0.000668933699003849	0.239132820610417
"AB_017483_T.1"	3.06056606330079	-0.665800004576605	0.000670460538653671	0.239132820610417
"AB_024402_T.1"	3.23153267613301	1.69034345560389	0.000672164766690317	0.239132820610417
"AB_035785_T.1"	1.78426860500035	1.37046346638745	0.000676970943207691	0.239132820610417
