"logFC"	"logCPM"	"PValue"	"FDR"
"AB_018011_T.1"	-1.70886518851231	5.28277496181865	5.46529439106311e-05	0.0461854639415681
"AB_043859_T.1"	-8.15814101564152	0.419189069930941	6.80959559819395e-05	0.0559434467394702
"AB_041537_T.1"	-1.58917309862039	5.5514434143699	6.99966664905058e-05	0.0559434467394702
"AB_027856_T.1"	3.02729844564733	3.90736772251195	7.07135518047253e-05	0.0559434467394702
"AB_042275_T.1"	-3.89788061004524	2.81719728634266	7.37308650809929e-05	0.0571153074230533
"AB_013344_T.1"	-2.31066062799835	3.11417184518291	8.10970691166588e-05	0.0615394351217291
"AB_038616_T.1"	3.63353064839314	2.47958995240233	8.39829430272963e-05	0.0624547554116792
"AB_040645_T.1"	-2.66243047620923	1.92926971570097	9.33728132884302e-05	0.0680761042451706
"AB_023647_T.1"	-2.51623236580442	4.80514958150495	9.62668443304022e-05	0.0688363475526413
"AB_022492_T.1"	4.01458097214684	1.96995352496767	0.000102010779069466	0.0710260862225115
"AB_033107_T.1"	-5.34111016625209	6.66503595795911	0.000103149521448394	0.0710260862225115
"AB_040347_T.1"	-3.06757447521298	2.94368417455977	0.000111273880874125	0.0752272129553196
"AB_002871_T.1"	-3.08964680735375	1.66857635471571	0.000114597606287794	0.0755276017061079
"AB_020308_T.1"	2.2843888780192	1.91805634686508	0.000115780687336905	0.0755276017061079
"AB_028074_T.1"	-2.95517549851672	1.97454055748301	0.00012147274233374	0.0778744996240596
"AB_041371_T.1"	-4.82348238337679	3.83250246815151	0.000146428336299415	0.0922821157393412
"AB_000934_T.1"	-3.38115446970238	0.874432376193479	0.000165083972508409	0.101936597494828
"AB_030701_T.1"	1.66493708681344	4.73782996175266	0.000168134205498846	0.101936597494828
"AB_037515_T.1"	6.13635410099036	-0.786120253243268	0.000169972004536464	0.101936597494828
"AB_036940_T.1"	-6.77303001149092	2.27515839622114	0.000173294594612901	0.102279570023674
"AB_030297_T.1"	-5.08478116062245	1.96119024611502	0.000177950691115823	0.10301316360262
"AB_044661_T.1"	-3.65501174171816	1.60603735123684	0.000180078413096585	0.10301316360262
"AB_020806_T.1"	-2.77653200170991	4.09745267917916	0.000206424653609771	0.116295271138971
"AB_040182_T.1"	-3.6546606939705	0.511120628382389	0.000211691565368368	0.117482499628239
"AB_029397_T.1"	-3.4910693343525	1.82134860302248	0.000218013291318245	0.119211591339504
"AB_015482_T.1"	5.82868356690438	0.530402886100129	0.000235996657211948	0.127174836305969
"AB_014542_T.1"	-4.5876464564573	-1.86847271104287	0.000252374431191414	0.134057692499862
"AB_012643_T.1"	9.0111958112251	-0.234857168189327	0.000261258350013712	0.136822101810702
"AB_033083_T.1"	-3.54881094590203	1.37766916658877	0.000270452697829253	0.139531716165531
"AB_021320_T.1"	2.83423925535669	5.26926422417842	0.000273937425169668	0.139531716165531
"AB_031444_T.1"	3.30384695122316	1.21790290512776	0.000282477124180228	0.141937120383695
"AB_022103_T.1"	-2.17342000018182	2.74689426330085	0.000290221193500329	0.143883928505636
"AB_002784_T.1"	-1.40371575791796	6.88032592357432	0.000305792464557727	0.149608963284868
"AB_009310_T.1"	-2.68149943981717	2.90913963391094	0.000327792262271015	0.158289606337963
"AB_025230_T.1"	-8.56459270152608	2.19796418675167	0.00035138484196801	0.167506956139699
"AB_028895_T.1"	2.14528201901956	4.61945286897805	0.000359921977460557	0.169404796049568
"AB_025811_T.1"	-1.29065951292611	5.40704032011106	0.000367265838754312	0.17070057103002
"AB_041144_T.1"	-3.78433231566136	2.15576288803103	0.000372490512636295	0.170991539893276
"AB_028697_T.1"	-6.50015546490413	-2.46477269533379	0.000403443160791437	0.180412654385145
