"logFC"	"logCPM"	"PValue"	"FDR"
"AB_024610_T.1"	-1.13473117879882	5.62129358795506	0.00128327507672758	0.753743647019786
"AB_020977_T.1"	-3.20912026071472	-1.1422609816503	0.00134157940796175	0.75820204428595
"AB_020782_T.1"	1.39449540177061	4.24380315487373	0.00134218730022938	0.75820204428595
"AB_020978_T.1"	-3.17209322952103	-0.93781959132346	0.00135137498250003	0.75820204428595
"AB_020437_T.1"	-1.64255466637893	4.14276485439509	0.0014830213790659	0.810608112134157
"AB_037677_T.1"	-1.31717355353837	4.25053105952395	0.00148790826892758	0.810608112134157
"AB_028399_T.1"	-1.72695488374973	3.40044712776902	0.00159447051461347	0.848162711627319
"AB_014915_T.1"	-4.0528261152371	-1.72971951773561	0.00160196729338245	0.848162711627319
"AB_024237_T.1"	-1.61138890829156	2.12941044730871	0.00164469464617425	0.858690506171335
"AB_030539_T.1"	-4.04658888234067	0.547382639413945	0.00169577867406389	0.873233097763505
"AB_000074_T.1"	1.04245251050578	4.63145713085369	0.00172628227088689	0.876928065471744
"AB_026508_T.1"	-1.07425944564322	5.68689719214063	0.0018729577788841	0.937567687561688
"AB_003677_T.1"	1.51274553805795	2.71968772338103	0.00193308140067936	0.937567687561688
"AB_004760_T.1"	-1.11180210577869	6.17007993474195	0.00193386079715058	0.937567687561688
"AB_024685_T.1"	-3.17479198315207	3.1345644285428	0.00194541990449341	0.937567687561688
"AB_017865_T.1"	-3.10420210036905	-1.17193008836654	0.00201579430600357	0.940198434621861
"AB_000631_T.1"	-1.00295645194782	8.11222792007767	0.00201722771651035	0.940198434621861
"AB_030950_T.1"	-1.5518474408737	2.68308203196031	0.00202679374027082	0.940198434621861
"AB_037933_T.1"	0.989327531236916	7.53749739076886	0.00206740320222893	0.940198434621861
"AB_006572_T.1"	-3.11390840943858	-0.925469632707675	0.0020858991804633	0.940198434621861
"AB_029680_T.1"	-1.07133793729746	4.49587584305364	0.00210094619744716	0.940198434621861
"AB_028967_T.1"	3.32977006082254	0.46661697355548	0.00214672647544321	0.949383469863359
"AB_010569_T.1"	-2.20358270604619	3.45031100749086	0.00217521737318226	0.950797631108073
"AB_044046_T.1"	-3.29632899675594	1.44568789976333	0.00235180234936215	1
"AB_027642_T.1"	-2.61857406469722	-1.12432007109818	0.00239644243299663	1
"AB_041249_T.1"	-3.9315985114344	1.2914716321997	0.00250792125582321	1
"AB_027705_T.1"	-3.58709443189077	2.17293593223309	0.00257107152956539	1
"AB_018133_T.1"	-1.58726251386011	2.44792790291953	0.00259534391624858	1
"AB_032783_T.1"	3.13338242347091	-0.401958222606786	0.00262991015902705	1
"AB_013457_T.1"	-6.82517765976706	0.519723029980171	0.00272509572903327	1
"AB_045757_T.1"	1.149347293037	4.32363932393063	0.00278276164947768	1
"AB_032690_T.1"	-0.983200881957902	6.44923138006478	0.00288953398520225	1
"AB_020431_T.1"	-2.72335524287782	1.35224561901552	0.00296829082242701	1
"AB_001672_T.1"	-1.96227056423182	0.609795342341518	0.00302355904544245	1
"AB_042707_T.1"	-1.82795110597008	1.19798807080925	0.00302582687464796	1
"AB_021614_T.1"	-2.90121258108981	1.90386901064371	0.00306328291999698	1
"AB_022216_T.1"	-1.19658004834788	3.92646524844103	0.00310807100732008	1
"AB_032984_T.1"	-1.02295182169832	8.27026583664349	0.00321940981428454	1
"AB_033663_T.1"	0.961612231047455	9.27867504895759	0.00328358851929806	1
"AB_020104_T.1"	1.02146866195052	6.35531667712783	0.00336009264672412	1
"AB_044023_T.1"	-5.85780843095146	-2.43095708086848	0.0033750531707687	1
"AB_023915_T.1"	3.27583522850893	-1.17056759557996	0.00340960252662703	1
"AB_002828_T.1"	1.13465719568745	4.12964412401324	0.00343611298965839	1
"AB_016663_T.1"	-1.33314715946402	3.35211116825498	0.00343805469097419	1
"AB_020196_T.1"	-5.69874802101455	-2.54470941495286	0.00344061595885916	1
"AB_022718_T.1"	-1.41280425672909	3.80545451592879	0.00345780252680917	1
"AB_039054_T.1"	0.9373288182785	8.47376619658546	0.00348053366310639	1
"AB_024304_T.1"	-2.70936745788264	-0.858929716423378	0.00348375806294868	1
"AB_002368_T.1"	-3.38442560091293	1.09589138724275	0.00348976120713468	1
"AB_010990_T.1"	-4.09415303842776	-1.6951270416047	0.00359472906811151	1
"AB_045013_T.1"	-4.20016018106463	1.71582620555175	0.00388101123646262	1
"AB_028622_T.1"	2.56431856773752	-1.10580528508481	0.00394888542065318	1
"AB_006160_T.1"	-5.62587947076812	-2.5907403497283	0.00401228691631158	1
"AB_003509_T.1"	-2.51676943987008	1.62646406585394	0.00406769489049026	1
"AB_022224_T.1"	-3.29964666027238	1.04370661088159	0.00408223741263542	1
"AB_036357_T.1"	-5.44367042906885	-2.69640926104883	0.0041086049483311	1
"AB_016800_T.1"	1.03354696940162	5.24370695720187	0.00411811877970945	1
"AB_030998_T.1"	-5.7257306677812	-2.51664390314705	0.00421892347087408	1
"AB_020806_T.1"	2.20703999442282	4.21647907427531	0.00426664996287165	1
"AB_001188_T.1"	-5.61433902202884	-2.59513071187538	0.00430707353966326	1
"AB_007857_T.1"	-1.25215383670876	3.57531523774879	0.00432203663586539	1
"AB_036464_T.1"	-2.77750047171627	1.03297448117201	0.00461062335799435	1
"AB_016551_T.1"	-1.34806855796051	2.56356247364726	0.004611350904227	1
"AB_003020_T.1"	-1.71890784926842	2.38415838651707	0.00463469329065216	1
"AB_045610_T.1"	0.934767735235772	8.63080405271436	0.00474229795413588	1
"AB_046015_T.1"	1.18797800771411	3.95791366701173	0.00474932544394996	1
