"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_034551_T.1"	-3.37092564101998	4.04641724680106e-05	0.0194969871008364	4.39292933692845	1.71003249564144	TRUE
"AB_041464_T.1"	-1.62153424437928	4.79804294134814e-05	0.021901803384375	4.31893586951802	1.65952012408053	TRUE
"AB_010818_T.1"	-1.09402662153396	5.39744751941458e-05	0.0237023100434849	4.26781157171526	1.62520932528742	TRUE
"AB_029397_T.1"	-2.04628058109407	5.61376682228192e-05	0.0243440998248255	4.25074563051515	1.61360627978882	TRUE
"AB_011806_T.1"	-1.95335384592439	5.74802265120938e-05	0.024618568125402	4.24048152911195	1.60873721027232	TRUE
"AB_046084_T.1"	-1.66293302623153	5.89328253530808e-05	0.0249328972823058	4.22964273749235	1.60322725215778	TRUE
"AB_028910_T.1"	-1.84997124084284	5.99002659861862e-05	0.0250368678023226	4.22257124912861	1.6014200037864	TRUE
"AB_019246_T.1"	-1.89259938605754	6.18768590406345e-05	0.0252544940451493	4.20847173983275	1.59766132782876	TRUE
"AB_040533_T.1"	-6.07060919973252	7.06892780633817e-05	0.0275545217367959	4.15064645368586	1.55980712261249	TRUE
"AB_004808_T.1"	-1.41332306323192	8.3155219209426e-05	0.031429487937479	4.08011048724159	1.50266269463431	TRUE
"AB_002228_T.1"	-1.41339841962239	0.000109369230345858	0.0399393404121949	3.96110484409579	1.39859911166635	TRUE
"AB_044238_T.1"	-1.39014167085858	0.000111388496702097	0.0402530179957202	3.95315965724809	1.39520155256937	TRUE
"AB_019390_T.1"	-2.63848017860296	0.000113496523878825	0.0405919732618988	3.94501743964586	1.39155983619383	TRUE
"AB_020978_T.1"	-3.6395132373343	0.000116056400500566	0.0406689762238953	3.93533090324403	1.3907367601233	TRUE
"AB_043178_T.1"	-7.24103491407983	0.000115065714334952	0.0406689762238953	3.9390540620634	1.3907367601233	TRUE
"AB_020572_T.1"	-1.43814653917427	0.000133435978329489	0.0458332768337291	3.87472705585225	1.33881909191661	TRUE
"AB_001073_T.1"	-1.39175547938412	0.000142523096230267	0.0481072881103617	3.84611475142688	1.31778912432589	TRUE
"AB_032767_T.1"	-1.11908116135292	0.000148626992905894	0.0489436243750468	3.82790230897726	1.31030387340268	TRUE
